,UID,min,max,mean,std
1772,1830,-120.0,-22.107627868652344,-100.8282241821289,19.45222371782618
1773,1831,-120.0,-23.10455322265625,-101.42205047607422,19.180295306051566
1774,1832,-120.0,-19.850894927978516,-102.05506134033203,18.720729920592458
1775,1834,-120.0,-17.120853424072266,-106.74632263183594,16.562624373058966
1776,1835,-120.0,-18.535139083862305,-104.57833099365234,17.85200269561207
1777,1836,-120.0,-26.784992218017578,-107.10419464111328,16.701893517512094
1778,1837,-120.0,-23.104551315307617,-101.3051528930664,19.236742879482694
1779,1838,-120.0,-24.622468948364258,-98.322509765625,20.60677683940369
1780,1839,-120.0,-19.39254379272461,-103.12037658691406,21.739352722358348
1781,1840,-120.0,-19.39402961730957,-104.95170593261719,20.28167733563659
1782,1841,-120.0,-18.33760643005371,-103.83723449707031,21.273676349421176
1783,1842,-120.0,-20.613248825073242,-89.1540298461914,24.605456037165315
1784,1843,-120.0,-26.297853469848633,-90.60993957519531,25.04544575421535
1785,1844,-120.0,-20.36736488342285,-91.69304656982422,24.738547401556595
1786,1845,-120.0,-22.132232666015625,-89.66482543945312,24.708262382864334
1787,1846,-120.0,-22.100215911865234,-106.47257995605469,19.96917179718841
1788,1847,-120.0,-25.490663528442383,-104.96823120117188,20.42652341654641
1789,1848,-120.0,-20.115921020507812,-93.88510131835938,24.11707614567749
1790,1849,-120.0,-24.346206665039062,-97.85246276855469,23.395544478914008
1791,1850,-120.0,-19.94464874267578,-96.34358215332031,22.543034068416027
1792,1851,-120.0,-20.44578742980957,-95.82372283935547,22.168291916697285
1793,1852,-120.0,-19.242279052734375,-100.79974365234375,21.515859742501213
1794,1853,-120.0,-18.757625579833984,-97.34123229980469,20.765098869369428
1795,1854,-120.0,-24.311752319335938,-87.11353302001953,23.682849920799097
1796,1855,-120.0,-24.352977752685547,-101.46050262451172,21.95793082961961
1797,1856,-120.0,-39.95101547241211,-109.6320571899414,16.81686219982928
1798,1857,-120.0,-27.66883659362793,-98.54048919677734,23.38044226627046
1799,1858,-120.0,-25.82817840576172,-95.1980209350586,23.241173822432707
1800,1859,-120.0,-29.141733169555664,-98.7610855102539,21.037004111616927
1801,1860,-120.0,-30.523582458496094,-83.97966003417969,24.756981683756276
1802,1861,-120.0,-20.44578742980957,-95.23661041259766,22.567318050538052
